,SEG,BU,Platform,Product Category,Product Line,Product Set
45641,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB670 OptiBuild
45642,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY775 OptiBuild
45643,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY703 OptiBuild
45644,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB613 OptiBuild
45647,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY775 OptiBuild
45648,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB613 OptiBuild
45650,BLS,BDB,Single Cell Multiomics,SCM Reagents,BD AbSeq,AbSeq - MTS vials
45651,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - OptiBuild,Sirigen - OptiBuild (Flow Cytometry)
45652,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB670 OptiBuild
45653,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY610 OptiBuild
45654,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB613 OptiBuild
45657,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY775 OptiBuild
45658,BDI,PI,Peripheral Vascular Disease,Heart,Clearsteam PTCA,PTCA Clearstream Balloons
45659,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY610 OptiBuild
45660,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB670 OptiBuild
45661,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB670 OptiBuild
45662,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB670 OptiBuild
45663,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB670 OptiBuild
45665,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - OptiBuild,Sirigen - OptiBuild (Flow Cytometry)
45671,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB613 OptiBuild
45673,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB613 OptiBuild
45674,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY775 OptiBuild
45675,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY703 OptiBuild
45677,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - OptiBuild,Sirigen - OptiBuild (Flow Cytometry)
45681,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY703 OptiBuild
45682,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY703 OptiBuild
45683,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB780 OptiBuild
45685,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB613 OptiBuild
45686,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG MTS,RY655 MTS
45688,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY586 OptiBuild
45690,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - OptiBuild,Sirigen - OptiBuild (Flow Cytometry)
45691,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB705 OptiBuild
45694,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - OptiBuild,Sirigen - OptiBuild (Flow Cytometry)
45696,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY610 OptiBuild
45697,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - OptiBuild,Sirigen - OptiBuild (Flow Cytometry)
45698,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB613 OptiBuild
45699,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - Immune Function (Flow Cytometry),Sirigen - Immune Function (Flow Cytometry)
45702,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY775 OptiBuild
45703,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt YG OptiBuild,RY586 OptiBuild
45704,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - OptiBuild,Sirigen - OptiBuild (Flow Cytometry)
45705,BLS,BDB,Research Reagents,Research Core Sirigen,Sirigen - OptiBuild,Sirigen - OptiBuild (Flow Cytometry)
45706,BLS,BDB,Research Reagents,Research Non-Core,Non-Flow Cytometry - Assays,Non-Flow Cytometry - Assays
45709,BLS,BDB,Research Reagents,Research Core Cobalt,Cobalt Blue OptiBuild,RB545 OptiBuild
