,SEG,BU,Platform,Product Category,Product Line,Product Set,CAT 11,preds,probs
6580,BDM,MDS,Hazardous Drug Solutions,Texium Systems,Bag Access,Bag Access,Vacutainer tubes,purewick canister & tubing,0.99
6589,BLS,BDB,Clinical Instruments,Sample Prep Assistant,SPA Options,SPA Options,Plastipak,pyxis,0.5
6638,BLS,BDB,Clinical Instruments,FACSVia,FACSVia Options,FACSVia Options,Neopak,pyxis,0.6
6668,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
6677,BLS,BDB,Research Instruments,Other Instrument Revenue (Research),Other Instrument Revenue (Research),Other Instrument Revenue (Research),Chloraprep,veritor device,0.59
6678,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
6691,BDI,PI,Peripheral Vascular Disease,PAD Mechanical,Rotarex Catheters,Rotarex Catheters,Purewick catheter,safety wingset,0.53
6703,BDI,UCC,Total Acute Urology,Fecal Drainage,Dignishield,Dignishield,Purewick catheter,purewick canister & tubing,0.54
6759,BLS,BDB,Clinical Instruments,Sample Prep Assistant,SPA Options,SPA Options,Plastipak,pyxis,0.5
6831,BLS,BDB,Clinical Instruments,Sample Prep Assistant,SPA Options,SPA Options,Plastipak,pyxis,0.5
6869,BLS,BDB,Clinical Instruments,Sample Prep Assistant,SPA Options,SPA Options,Plastipak,pyxis,0.5
6927,BLS,BDB,Research Instruments,Other Instrument Revenue (Research),Other Instrument Revenue (Research),Other Instrument Revenue (Research),Vacutainer tubes,veritor device,0.59
6931,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
6957,BLS,BDB,Clinical Instruments,Sample Prep Assistant,SPA Options,SPA Options,Plastipak,pyxis,0.5
6964,BLS,SM,Lab Specimen Management,Tubes - Other,Other Tubes & Kits,Veterinary Kits,Plastipak,hypak for vaccine,0.66
6993,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
7005,BLS,BDB,Clinical Instruments,Sample Prep Assistant,SPA Options,SPA Options,Plastipak,pyxis,0.5
7009,BDM,PS,Prefillable Systems,Glass Container,Hypak for Vaccine,SCF Luer PRTC,Hypak for Vaccine,hypak for antico,0.54
7011,BDI,UCC,Total Acute Urology,Fecal Drainage,Dignishield,Dignishield,Purewick catheter,purewick canister & tubing,0.54
7040,BLS,BDB,Clinical Instruments,Sample Prep Assistant,SPA Options,SPA Options,Plastipak,pyxis,0.5
7048,BDI,PI,Oncology,CHRONIC DRAINAGE,PleurX,PLEURX ACCESSORIES,Purewick canister & tubing,powerport,0.34
7110,BDM,MMS,Alaris Plus,IV Pump Delivery,Alaris Plus Syringe,Enteral,Plastipak,safety wingset,0.94
7135,BDI,SUR,Performance Irrigation and Other Surgery,Performance Irrigation,Laparoscopic,All Other,Purewick catheter,chloraprep,0.87
7139,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
7174,BDM,PS,Prefillable Systems,Glass Container,Hypak for Biotech,SCF Needle,Hypak for Vaccine,hypak for antico,0.48
7182,BDI,PI,Oncology,CHRONIC DRAINAGE,PleurX,PLEURX ACCESSORIES,Purewick canister & tubing,powerport,0.34
7194,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
7262,BDM,MMS,Alaris Plus,IV Pump Delivery,Alaris Plus Syringe,Syringe,Plastipak,safety wingset,0.72
7286,BDI,UCC,Total BD UCC Other,Wound Drainage,Closed Wound Suction,Silicone Round Drains,Vacutainer tubes,purewick catheter,0.8
7326,BLS,DS,Microbiology,Industrial Microbiology,Liquid Media - Industrial,Industrial Bottled Media,Chloraprep,vacutainer tubes,0.55
7365,BLS,BDB,Clinical Instruments,Sample Prep Assistant,SPA Options,SPA Options,Plastipak,pyxis,0.5
7366,BLS,BDB,Clinical Instruments,Sample Prep Assistant,SPA Options,SPA Options,Plastipak,pyxis,0.5
7399,BLS,DS,Molecular Diagnostics,BD MAX,MAX C Diff,MAX C Diff,BACTEC vials,veritor assays,0.52
7414,BDI,SUR,Hernia,Groin Hernia,Plugs,Plugs,Veritor Assays,powerport,0.87
7475,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
7537,BDM,MMS,CME,IV Pump Delivery,CME LVP Sets,Primary Admin,Plastipak,safety wingset,1.0
7579,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
7582,BLS,BDB,Clinical Instruments,Sample Prep Assistant,SPA Options,SPA Options,Plastipak,pyxis,0.5
7592,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
7686,BDI,SUR,Infection Prevention - Surgical,Hair Removal,Clippers,Clipper Blades,Powerport,veritor device,0.59
7710,BLS,BDB,Clinical Instruments,Sample Prep Assistant,SPA Options,SPA Options,Plastipak,pyxis,0.5
7718,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
7760,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
7809,BDI,PI,Peripheral Vascular Disease,Venous,Venclose,Venclose Accessories,Safety Wingset,powerport,0.6
7813,BDI,PI,Peripheral Vascular Disease,PAD Mechanical,Rotarex Catheters,Rotarex Catheters,Purewick catheter,safety wingset,0.53
7818,BDI,PI,Peripheral Vascular Disease,Venous,Venclose,Venclose Accessories,Safety Wingset,powerport,0.6
7862,BDI,UCC,Total Acute Urology,Urological Drainage,Foley Trays,Criticore Disp-Foley Trays,Plastipak,purewick canister & tubing,0.58
7863,BLS,BDB,Clinical Instruments,Sample Prep Assistant,SPA Options,SPA Options,Plastipak,pyxis,0.5
7888,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
7939,BLS,BDB,Clinical Instruments,Sample Prep Assistant,SPA Options,SPA Options,Plastipak,pyxis,0.5
7971,BDM,MDS,Hazardous Drug Solutions,Texium Systems,Bag Access,Bag Access,Vacutainer tubes,purewick canister & tubing,0.99
7983,BLS,DS,Microbiology,Industrial Microbiology,Liquid Media - Industrial,Industrial Bottled Media,Chloraprep,vacutainer tubes,0.55
8008,BDI,UCC,Total Home Care Sales,PureWick Home Care,PureWick Disposables Home Care,PureWick Female External,Purewick device,purewick catheter,0.7341666666666665
8073,BDM,MDS,Hazardous Drug Solutions,Facilimix,Facilimix,Facilimix,Plastipak,purewick canister & tubing,0.39
8089,BLS,BDB,Clinical Instruments,Sample Prep Assistant,SPA Options,SPA Options,Plastipak,pyxis,0.5
8093,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
8183,BDM,MDS,Advanced Access Devices,PICC Other,PICC Accessories,Micro-EZ,BACTEC vials,safety wingset,0.98
8207,BDI,PI,BD PI Other,OEM,Textiles OEM,Textiles OEM,BACTEC vials,safety wingset,0.57
8212,BLS,BDB,Clinical Instruments,Sample Prep Assistant,SPA Options,SPA Options,Plastipak,pyxis,0.5
8216,BLS,BDB,Clinical Instruments,Sample Prep Assistant,SPA Options,SPA Options,Plastipak,pyxis,0.5
8237,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
8253,BDM,MDS,IV Access,IVA Interlink,IVA Accessories - Interlink,Syringe with Cannula,Plastipak,vacutainer tubes,0.57
8255,BLS,BDB,Research Instruments,Other Instrument Revenue (Research),Other Instrument Revenue (Research),Other Instrument Revenue (Research),Vacutainer tubes,veritor device,0.59
8302,BDI,SUR,Hernia,Complex Abdominal Wall Reconstruction,Phasix,Phasix Flat Mesh,Veritor Assays,powerport,0.7
8310,BLS,BDB,Clinical Instruments,Sample Prep Assistant,SPA Options,SPA Options,Plastipak,pyxis,0.5
8320,BLS,BDB,Clinical Instruments,Sample Prep Assistant,SPA Options,SPA Options,Plastipak,pyxis,0.5
8348,BDI,UCC,Endourology,Endourology Other,Urology Procedure Trays,Suprapubic Catheter,BACTEC vials,purewick canister & tubing,0.64
8350,BDI,PI,Peripheral Vascular Disease,Venous,Venclose,Venclose Accessories,Safety Wingset,powerport,0.6
8364,BLS,BDB,Clinical Instruments,Sample Prep Assistant,SPA Options,SPA Options,Plastipak,pyxis,0.5
8406,BDI,SUR,Hernia,Complex Abdominal Wall Reconstruction,Phasix,Phasix Flat Mesh,Veritor Assays,powerport,0.7
8408,BDI,UCC,Total BD UCC Other,Wound Drainage,Channel Drains,Channel Drains,Vacutainer tubes,purewick catheter,0.63
8438,BLS,DS,Microbiology,ID/AST,Misc ID and AST,MICRONAUT,BACTEC vials,vacutainer tubes,0.61
8521,BDI,PI,Peripheral Vascular Disease,Venous,Venclose,Venclose Accessories,Safety Wingset,powerport,0.6
8600,BLS,DS,Microbiology,ID/AST,Misc ID and AST,MICRONAUT,BACTEC vials,vacutainer tubes,0.61
8628,BLS,DS,Molecular Diagnostics,ProbeTec/Viper,All Other BD Viper,Viper Ancillary Equipment,Purewick catheter,safety wingset,0.46
8651,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
8666,BLS,BDB,Clinical Instruments,FACSVia,FACSVia Options,FACSVia Options,Chloraprep,pyxis,0.6
8692,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
8751,BLS,BDB,Clinical Instruments,Sample Prep Assistant,SPA Options,SPA Options,Plastipak,pyxis,0.5
8864,BLS,BDB,Clinical Instruments,Sample Prep Assistant,SPA Options,SPA Options,Plastipak,pyxis,0.5
8876,BLS,DS,Microbiology,ID/AST,Misc ID and AST,MICRONAUT,BACTEC vials,vacutainer tubes,0.61
8905,BDI,PI,End Stage Kidney Disease,Fabrics and Meshes,Fabrics,Fabrics,Veritor Assays,powerport,0.5
8997,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
9014,BLS,BDB,Clinical Instruments,Sample Prep Assistant,SPA Options,SPA Options,Plastipak,pyxis,0.5
9042,BDI,UCC,Total Acute Urology,Urological Drainage,Foley Trays,Criticore Disp-Foley Trays,Plastipak,purewick canister & tubing,0.58
9168,BLS,BDB,Clinical Instruments,Sample Prep Assistant,SPA Options,SPA Options,Plastipak,pyxis,0.5
9169,BLS,DS,Microbiology,Industrial Microbiology,Liquid Media - Industrial,Industrial Bottled Media,Chloraprep,vacutainer tubes,0.55
9202,BDI,SUR,Infection Prevention - Surgical,Hair Removal,Clippers,Clipper Blades,Powerport,veritor device,0.59
9289,BDI,PI,End Stage Kidney Disease,Other Surgical ESKD,Other Surgical,Patches,Plastipak,powerport,0.65
9302,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
9314,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
9355,BDI,PI,End Stage Kidney Disease,Fabrics and Meshes,Fabrics,Fabrics,Veritor Assays,powerport,0.5
9424,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
9484,BDI,SUR,Hernia,Complex Abdominal Wall Reconstruction,Phasix,Phasix ST,Veritor Assays,powerport,0.97
9491,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
9528,BDI,UCC,Total Home Care Sales,PureWick Home Care,PureWick Disposables Home Care,PureWick Female External,Purewick device,purewick catheter,0.7341666666666665
9549,BDI,PI,Peripheral Vascular Disease,Venous,Venclose,Venclose Accessories,Safety Wingset,powerport,0.6
9598,BLS,BDB,Clinical Instruments,Sample Prep Assistant,SPA Options,SPA Options,Plastipak,pyxis,0.5
9636,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
9686,BDI,SUR,Hernia,Complex Abdominal Wall Reconstruction,Phasix,Phasix Flat Mesh,Veritor Assays,powerport,0.7
9807,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
9871,BDI,SUR,Hernia,Ventral,Lap Ventral,Sepramesh IP,Veritor Assays,powerport,0.66
9913,BDI,SUR,Hernia,Ventral,Lap Ventral,Sepramesh IP,Veritor Assays,powerport,0.66
9942,BLS,BDB,Clinical Instruments,Sample Prep Assistant,SPA Options,SPA Options,Plastipak,pyxis,0.5
9969,BLS,DS,Microbiology,Industrial Microbiology,Plated Media - Industrial,Refrigerated Plates,Plastipak,vacutainer tubes,0.6
10053,BDM,MMS,Alaris System,POC Systems,Alaris System Accessories - POC,Accessories,Purewick canister & tubing,powerport,0.33
10059,BDI,SUR,Hernia,Complex Abdominal Wall Reconstruction,Phasix,Phasix ST,Veritor Assays,powerport,0.97
10095,BDM,MMS,Alaris Plus,IV Pump Delivery,Alaris Plus Syringe,Syringe,Plastipak,safety wingset,0.72
10127,BDM,MMS,CME,POC Systems,CME DUAL CH TWIN - Placement,Drug Infusion - Placement,Pyxis,purewick device,0.75
10132,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
10150,BLS,BDB,Clinical Instruments,Sample Prep Assistant,SPA Options,SPA Options,Plastipak,pyxis,0.5
10177,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
10178,BDI,SUR,Hernia,Complex Abdominal Wall Reconstruction,Phasix,Phasix Flat Mesh,Veritor Assays,powerport,0.7
10476,BDI,PI,Peripheral Vascular Disease,Venous,Liverty - Kits,Liverty,Purewick canister & tubing,powerport,0.35
10497,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
10520,BDI,UCC,Total Acute Urology,Urological Drainage,Other Urology,Hand Help Temp/Miscellaneous,Powerport,purewick canister & tubing,0.78
10586,BDM,MMS,Alaris System,Service,Alaris System Service Parts,POC Applications,Plastipak,safety wingset,0.74
10591,BDI,PI,Oncology,CHRONIC DRAINAGE,PleurX,PLEURX ACCESSORIES,Purewick canister & tubing,powerport,0.34
10665,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
10700,BDI,SUR,Hernia,Ventral,Lap Ventral,Sepramesh IP,Veritor Assays,powerport,0.66
10774,BDI,UCC,Endourology,Stone Disposables,Laser Technology,Holmium Laser Fibers,Purewick canister & tubing,purewick catheter,0.64
10779,BDI,PI,End Stage Kidney Disease,Other Surgical ESKD,Other Surgical,Patches,Plastipak,powerport,0.65
10887,BDI,PI,Peripheral Vascular Disease,PAD Mechanical,Rotarex Catheters,Rotarex Catheters,Purewick catheter,safety wingset,0.53
10926,BLS,BDB,Clinical Instruments,Sample Prep Assistant,SPA Options,SPA Options,Plastipak,pyxis,0.5
10960,BDI,PI,End Stage Kidney Disease,Fabrics and Meshes,Fabrics,Fabrics,Veritor Assays,powerport,0.5
11021,BDI,SUR,Hernia,Complex Abdominal Wall Reconstruction,Phasix,Phasix ST,Veritor Assays,powerport,0.97
11026,BLS,BDB,Clinical Instruments,FACSVia,FACSVia Options,FACSVia Options,Neopak,pyxis,0.6
11101,BDI,SUR,Hernia,Complex Abdominal Wall Reconstruction,Phasix,Phasix Flat Mesh,Veritor Assays,powerport,0.7
11223,BDI,UCC,Endourology,Stone Disposables,Laser Technology,Holmium Laser Fibers,Purewick canister & tubing,purewick catheter,0.64
11421,BDI,PI,Peripheral Vascular Disease,PAD Mechanical,Rotarex Catheters,Rotarex Catheters,Purewick catheter,safety wingset,0.53
11537,BLS,BDB,Clinical Instruments,FACSVia,FACSVia Options,FACSVia Options,Neopak,pyxis,0.6
11591,BLS,SM,Emerging Specimen Management,MiniDraw,MiniDraw,MiniDraw,Vacutainer tubes,safety wingset,0.23
11592,BLS,SM,Emerging Specimen Management,MiniDraw,MiniDraw,MiniDraw,Vacutainer tubes,safety wingset,0.23
11641,BLS,BDB,Research Instruments,Other Instrument Revenue (Research),Other Instrument Revenue (Research),Other Instrument Revenue (Research),Veritor Assays,veritor device,0.59
11718,BDI,SUR,Hernia,Groin Hernia,Groin Open,Adhesix,PowerPort,veritor assays,0.58
11740,BDI,PI,Peripheral Vascular Disease,Venous,Venclose,Venclose Accessories,Safety Wingset,powerport,0.6
11831,BDI,SUR,Hernia,Complex Abdominal Wall Reconstruction,Phasix,Phasix Flat Mesh,Veritor Assays,powerport,0.7
11963,BLS,DS,Lab Automation,Lab Automation,All Other Lab Automation Instruments,Other Instr- Sale,Vacutainer tubes,bactec fx machine,0.46
12049,BDI,SUR,Hernia,Complex Abdominal Wall Reconstruction,Phasix,Phasix Flat Mesh,Veritor Assays,powerport,0.7
12080,BDI,UCC,Total Acute Urology,Urological Drainage,Foley Trays,Criticore Disp-Foley Trays,Plastipak,purewick canister & tubing,0.58
12110,BLS,BDB,Clinical Instruments,Sample Prep Assistant,SPA Options,SPA Options,Plastipak,pyxis,0.5
12165,BDI,SUR,Hernia,Groin Hernia,Groin Open,Adhesix,PowerPort,veritor assays,0.58
12225,BLS,BDB,Clinical Instruments,Sample Prep Assistant,SPA Options,SPA Options,Plastipak,pyxis,0.5
12227,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
12310,BDI,SUR,Hernia,Complex Abdominal Wall Reconstruction,Phasix,Phasix Flat Mesh,Veritor Assays,powerport,0.7
12467,BDI,SUR,Hernia,Complex Abdominal Wall Reconstruction,Phasix,Phasix Flat Mesh,Veritor Assays,powerport,0.7
12516,BLS,BDB,Advanced Bioprocessing,Peptones,Peptones AO,AO Peptones,Safety Wingset,purewick canister & tubing,0.92
12517,BDI,PI,End Stage Kidney Disease,Fabrics and Meshes,Fabrics,Fabrics,Veritor Assays,powerport,0.5
12528,BDI,PI,End Stage Kidney Disease,Endo AVF,WavelinQ,WavelinQ 4 Fr,Purewick catheter,powerport,0.67
12665,BDI,SUR,Hernia,Ventral,Lap Ventral,Sepramesh IP,Veritor Assays,powerport,0.66
12680,BDI,UCC,Endourology,Stone Disposables,Laser Technology,Holmium Laser Fibers,Purewick canister & tubing,purewick catheter,0.64
12691,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
12711,BDI,PI,Oncology,Biopsy Needles and Accessories,TREK,TREK,Veritor device,safety wingset,0.89
12712,BDI,PI,Oncology,CHRONIC DRAINAGE,PleurX,PLEURX ACCESSORIES,Purewick canister & tubing,powerport,0.34
12731,BDI,UCC,Endourology,Stone Disposables,Laser Technology,Holmium Laser Fibers,Purewick canister & tubing,purewick catheter,0.64
12911,BDI,UCC,Targeted Temperature Management,Arctic Sun,Arctic Sun-Hardware,Arctic Sun-Hardware,PowerPort,pyxis,0.71
13040,BDI,SUR,Hernia,Complex Abdominal Wall Reconstruction,Phasix,Phasix Flat Mesh,Veritor Assays,powerport,0.7
13069,BDI,SUR,Hernia,Complex Abdominal Wall Reconstruction,Phasix,Phasix Flat LX,Veritor Assays,powerport,0.74
13075,BDM,MDS,Vascular Access Technologies,Site-Rite,Site-Rite Probes,Site Rite 9 Probes,Pyxis,purewick device,0.8
13122,BLS,BDB,Clinical Instruments,Sample Prep Assistant,SPA Options,SPA Options,Plastipak,pyxis,0.5
13130,BLS,BDB,Clinical Instruments,Sample Prep Assistant,SPA Options,SPA Options,Plastipak,pyxis,0.5
13136,BDI,UCC,Targeted Temperature Management,Arctic Sun,Arctic Sun-Hardware,Arctic Sun-Hrdware Repl Parts,Chloraprep,pyxis,0.72
13155,BLS,BDB,Research Instruments,Other Instrument Revenue (Research),Other Instrument Revenue (Research),Other Instrument Revenue (Research),Chloraprep,veritor device,0.59
13258,BLS,BDB,Clinical Instruments,Sample Prep Assistant,SPA Options,SPA Options,Plastipak,pyxis,0.5
13422,BDI,UCC,Endourology,Stone Disposables,Laser Technology,Holmium Laser Fibers,Purewick canister & tubing,purewick catheter,0.64
13504,BDI,PI,End Stage Kidney Disease,Fabrics and Meshes,Fabrics,Fabrics,Veritor Assays,powerport,0.5
13536,BDM,MDS,Vascular Access Technologies,Site-Rite,Site-Rite Consoles - ISALES,Site Rite 9 Consoles,Pyxis,purewick device,0.78
13589,BDI,PI,Peripheral Vascular Disease,PAD Mechanical,Rotarex Catheters,Rotarex Catheters,Purewick catheter,safety wingset,0.53
13623,BDI,PI,Peripheral Vascular Disease,PAD Mechanical,Rotarex Catheters,Rotarex Catheters,Purewick catheter,safety wingset,0.53
13664,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
13727,BLS,BDB,Clinical Instruments,Sample Prep Assistant,SPA Options,SPA Options,Plastipak,pyxis,0.5
13838,BDI,SUR,Hernia,Complex Abdominal Wall Reconstruction,Phasix,Phasix ST,Veritor Assays,powerport,0.97
14134,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
14234,BDM,MDS,Vascular Access Technologies,Site-Rite,Site-Rite Accessories,Site Rite 9 Accessories,Purewick catheter,purewick device,0.85
14315,BDI,SUR,Hernia,Complex Abdominal Wall Reconstruction,Phasix,Phasix Flat LX,Veritor Assays,powerport,0.74
14356,BLS,DS,Veritor Cov,Veritor Cov,Rapid Test Reader,Rapid Test Reader,Veritor Assays,veritor device,0.46
14369,BDI,UCC,Total Acute Urology,Urological Drainage,Other Urology,Hand Help Temp/Miscellaneous,Powerport,purewick canister & tubing,0.78
14427,BDI,SUR,Hernia,Complex Abdominal Wall Reconstruction,Phasix,Phasix Flat LX,Veritor Assays,powerport,0.74
14438,BDI,PI,Oncology,Vacuum Assisted,Encor Capital - Placement,Encor Enspire Capital - Placement,Purewick device,pyxis,0.43
14452,BDI,UCC,Endourology,Stone Disposables,Laser Technology,Holmium Laser Fibers,Purewick canister & tubing,purewick catheter,0.64
14477,BDI,SUR,Hernia,Ventral,Lap Ventral,Sepramesh IP,Veritor Assays,powerport,0.66
14509,BLS,BDB,Clinical Instruments,Sample Prep Assistant,SPA Options,SPA Options,Plastipak,pyxis,0.5
14510,BLS,BDB,Clinical Instruments,Sample Prep Assistant,SPA Options,SPA Options,Plastipak,pyxis,0.5
14512,BLS,BDB,Clinical Instruments,Sample Prep Assistant,SPA Options,SPA Options,Plastipak,pyxis,0.5
14825,BDM,MMS,BD Nexus,POC Systems,BD Nexus S700 Pumps,BD Nexus SYP,Plastipak,purewick device,0.47
14836,BDI,PI,End Stage Kidney Disease,Endo AVF,WavelinQ,WavelinQ 4 Fr,Purewick catheter,powerport,0.67
14843,BDI,PI,Oncology,Vacuum Assisted,EleVation Capital,Elevation - Capital,Purewick device,safety wingset,0.58
14946,BDI,PI,End Stage Kidney Disease,Fabrics and Meshes,Fabrics,Fabrics,Veritor Assays,powerport,0.5
15049,BDM,MMS,Alaris System,POC Systems,Alaris System Accessories - POC,Accessories,Purewick canister & tubing,powerport,0.33
15188,BLS,BDB,Research Instruments,FACSVerse,FACSVerse Options,FACSVerse Options,Safety Wingset,pyxis,0.65
15236,BDI,SUR,Hernia,Complex Abdominal Wall Reconstruction,Phasix,Phasix Flat LX,Veritor Assays,powerport,0.74
15316,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
15404,BDI,UCC,Endourology,Stone Disposables,Laser Technology,Holmium Laser Fibers,Purewick canister & tubing,purewick catheter,0.64
15452,BDI,PI,Peripheral Vascular Disease,PAD Mechanical,Rotarex Capital,Rotarex Capital,Purewick device,purewick catheter,0.34
15460,BDI,PI,End Stage Kidney Disease,Other Surgical ESKD,Other Surgical,Patches,Plastipak,powerport,0.65
15576,BLS,BDB,Clinical Instruments,Sample Prep Assistant,SPA Options,SPA Options,Plastipak,pyxis,0.5
15587,BLS,BDB,Clinical Instruments,Sample Prep Assistant,SPA Options,SPA Options,Plastipak,pyxis,0.5
15592,BDM,MDS,Hazardous Drug Solutions,Texium Systems,Bag Access,Bag Access,Vacutainer tubes,purewick canister & tubing,0.99
15594,BDI,UCC,Targeted Temperature Management,Arctic Sun,Arctic Sun-Hardware,Arctic Sun-Hrdware Repl Parts,Purewick catheter,pyxis,0.72
15627,BDI,SUR,Hernia,Complex Abdominal Wall Reconstruction,Phasix,Phasix Flat LX,Veritor Assays,powerport,0.74
15640,BDI,UCC,Endourology,Stone Disposables,Laser Technology,Holmium Laser Fibers,Purewick canister & tubing,purewick catheter,0.64
15891,BDI,UCC,Endourology,Stone Disposables,Laser Technology,Holmium Laser Fibers,Purewick canister & tubing,purewick catheter,0.64
15954,BDM,MMS,Alaris System,POC Systems,Alaris System Accessories - POC,Accessories,Purewick canister & tubing,powerport,0.33
15978,BLS,BDB,Research Instruments,Other Instrument Revenue (Research),Other Instrument Revenue (Research),Other Instrument Revenue (Research),Purewick catheter,veritor device,0.59
16055,BDI,SUR,Hernia,Complex Abdominal Wall Reconstruction,Phasix,Phasix Flat LX,Veritor Assays,powerport,0.74
16089,BDM,MDS,Vascular Access Technologies,Prevue,Prevue Accessories,Prevue II Accessories,Purewick device,purewick catheter,0.35
16153,BDI,SUR,Hernia,Complex Abdominal Wall Reconstruction,Phasix,Phasix Flat LX,Veritor Assays,powerport,0.74
16248,BDI,PI,Oncology,Catheter Group,Chronic CVC Catheters,Trifusion Apheresis Catheters,Veritor Device,safety wingset,1.0
16271,BDI,UCC,Total Acute Urology,Urological Drainage,Foley Trays,Criticore Disp-Foley Trays,Plastipak,purewick canister & tubing,0.58
16314,BDI,SUR,Hernia,Complex Abdominal Wall Reconstruction,Phasix,Phasix Flat LX,Veritor Assays,powerport,0.74
16349,BDI,UCC,Targeted Temperature Management,Arctic Sun,Arctic Sun-Hardware,Arctic Sun-Hardware,PowerPort,pyxis,0.71
16387,BDM,MDS,Vascular Access Technologies,Site-Rite,Site-Rite Accessories,Site Rite 9 Accessories,Plastipak,purewick device,0.85
16453,BDM,MMS,Alaris Plus,IV Pump Delivery,Alaris Plus Syringe,Enteral,Veritor Assays,safety wingset,0.94
16461,BLS,BDB,Research Instruments,FACSDiscover S8,FACSDiscover S8 Options,FACSDiscover S8 Options,Chloraprep,pyxis,0.67
16585,BDI,PI,Peripheral Vascular Disease,Venous,Venclose,Venclose Accessories,Safety Wingset,powerport,0.6
16739,BDI,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,Purewick catheter,purewick canister & tubing,0.52
16826,BDM,MDS,Vascular Access Technologies,Prevue,Prevue Accessories,Prevue II Accessories,Powerport,purewick catheter,0.35
17040,BDI,SUR,Hernia,Complex Abdominal Wall Reconstruction,Phasix,Phasix Flat LX,Veritor Assays,powerport,0.74
17140,BDI,UCC,Targeted Temperature Management,Arctic Sun,Arctic Sun-Hardware,Arctic Sun-Hrdware Repl Parts,PowerPort,pyxis,0.72
17142,BLS,BDB,Clinical Instruments,Sample Prep Assistant,SPA Options,SPA Options,Plastipak,pyxis,0.5
