,SEG,BU,Platform,Product Category,Product Line,Product Set,CAT 11,preds,probs
53686,BLS,DS,Microbiology,ID/AST,Misc ID and AST,MICRONAUT,BACTEC vials,vacutainer tubes,0.61
53709,BLS,BDB,Clinical Reagents,Cytognos Reagents,Cytognos Other Reagents,Cytognos THIRD-PARTY REAGENTS,Chloraprep,bactec vials,0.61
53719,BLS,DS,Microbiology,ID/AST,Misc ID and AST,MICRONAUT,BACTEC vials,vacutainer tubes,0.61
53766,BLS,DS,Microbiology,Industrial Microbiology,DCM,Selective & Diff Media,Safety Wingset,bactec vials,0.94
53848,BLS,BDB,Single Cell Multiomics,SCM Reagents,BD Immune Repertoire Profiling Reagents (BD VDJ),TCR/BCR,Pyxis,bactec vials,0.76
53856,BDM,MMS,Alaris System,Service,Alaris System Service Parts,Medley,Plastipak,safety wingset,0.97
53889,BLS,DS,Microbiology,ID/AST,Misc ID and AST,MICRONAUT,BACTEC vials,vacutainer tubes,0.61
53922,BLS,DS,Microbiology,ID/AST,Misc ID and AST,MICRONAUT,BACTEC vials,vacutainer tubes,0.61
53933,BDI,SUR,Hernia,Groin Hernia,Plugs,Plugs,Veritor Assays,powerport,0.87
53937,BLS,DS,Microbiology,ID/AST,Misc ID and AST,MICRONAUT,BACTEC vials,vacutainer tubes,0.61
53989,BDM,MMS,Alaris System,Service,Alaris System Service Parts,Medley,Plastipak,safety wingset,0.97
54014,BDI,PI,Peripheral Vascular Disease,PAD Mechanical,Rotarex Capital,Rotarex Capital,Purewick device,purewick catheter,0.34
54029,BDI,PI,Oncology,Vacuum Assisted,Encor Capital,Encor Enspire Capital,Pyxis,powerport,0.42
54030,BDI,PI,Oncology,Vacuum Assisted,Encor Capital,Encor Enspire Capital,Pyxis,powerport,0.42
54031,BDI,PI,Oncology,Vacuum Assisted,Encor Capital,Encor Enspire Capital,Pyxis,powerport,0.42
54032,BDI,PI,Oncology,Vacuum Assisted,Encor Capital,Encor Enspire Capital,Pyxis,powerport,0.42
54033,BDI,PI,Oncology,Vacuum Assisted,Encor Capital,Encor Ultra Capital,Pyxis,safety wingset,0.39
54034,BDI,PI,Oncology,Vacuum Assisted,Finesse Capital,Finesse Capital,Safety Wingset,purewick device,0.54
54035,BDI,PI,Oncology,Vacuum Assisted,Finesse Capital,Finesse Capital,Safety Wingset,purewick device,0.54
54045,BDI,PI,End Stage Kidney Disease,Fabrics and Meshes,Fabrics,Fabrics,Veritor Assays,powerport,0.5
54046,BDI,PI,End Stage Kidney Disease,Fabrics and Meshes,Fabrics,Fabrics,Veritor Assays,powerport,0.5
54047,BDI,PI,End Stage Kidney Disease,Fabrics and Meshes,Fabrics,Fabrics,Veritor Assays,powerport,0.5
54048,BDI,PI,End Stage Kidney Disease,Fabrics and Meshes,Fabrics,Fabrics,Veritor Assays,powerport,0.5
