,SEG,BU,Business Unit,Sub BU,Sub Business Unit,Platform ID,Platform,Product Category ID,Product Category,Product Line ID,Product Line,Product Set ID,Product Set,Product Subset ID,Product Subset ,Material ID,Material Description,Material ID Description,BU + Material, FY 25 Actual Revenue , FY 25 Actual Units , COMMENTS ,CAT 12
25289,BLS,BDB,Biosciences,BDB,Biosciences,2200200,Clinical Instruments,PH220020023350,FACSLyric,PH220020036350,FACSLyric Instrument,PH220020041135,FACSLyric Instrument,PH220020051345,FACSLyric Instrument - 8 Color,654587,FACSLyric 3L8C Instrument,654587-FACSLyric 3L8C Instrument,BDB-654587,"$3,709,950 ",39,Matched by Material ID,pyxis
25298,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111006,Informatics,PH211100621000,Informatics,PH211100436650,Other Informatics,PH211100441296,DMS (Japan),PH211100451534,DMS (Japan),252857,MDMS Client CPU3 (WIN10) JAPAN,252857-MDMS Client CPU3 (WIN10) JAPAN,DS-252857,"$46,898 ",39,Classified by ML model,pyxis
25399,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111006,Informatics,PH211100621000,Informatics,PH211100436650,Other Informatics,PH211100441296,DMS (Japan),PH211100451534,DMS (Japan),252317,DMS CLIENT TFT2 JAPAN,252317-DMS CLIENT TFT2 JAPAN,DS-252317,"$6,745 ",39,Classified by ML model,pyxis
25433,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111006,Informatics,PH211100621000,Informatics,PH211100436600,Epicenter,PH211100441290,Epicenter Hardware,PH211100451521,Epicenter Hardware,257335,Kit Instrument Connection,257335-Kit Instrument Connection,DS-257335,$412 ,39,Matched by Material ID,pyxis
25441,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2118000,Cancer,PH211800021000,Cytology,PH211800031000,SlidePrep Instr - Sale,PH211800041000,SlidePrep Instrument Sale,PH211800051000,SlidePrep Instrument Sale,491346,Totalys Slideprep CE,491346-Totalys Slideprep CE,DS-491346,"$2,732,600 ",38,Matched by Material ID,pyxis
25442,BLS,BDB,Biosciences,BDB,Biosciences,2200200,Clinical Instruments,PH220020023700,Lyse Wash Assistant,PH220020037250,LWA,PH220020041164,LWA,PH220020051399,LWA Instrument,337146,BD FACS Lyse Wash Assistant,337146-BD FACS Lyse Wash Assistant,BDB-337146,"$1,332,525 ",38,Matched by Material ID,pyxis
25444,BLS,BDB,Biosciences,BDB,Biosciences,2200700,Research Instruments,PH220070022550,FACSDiscover S8,PH220070034350,FACSDiscover S8 Options,PH220070041079,FACSDiscover S8 Options,PH220070051234,FACSDiscover S8 Options,666782,FACSDiscover Air Compressor 230V/60HZ,666782-FACSDiscover Air Compressor 230V/60HZ,BDB-666782,"$121,391 ",38,Matched by Material ID,pyxis
25445,BDI,UCC,Urology and Critical Care,UCC,Urology and Critical Care,2401511,Targeted Temperature Management,PH240151121000,Arctic Sun,PH240151131000,Arctic Sun-Hardware,PH240151141026,Arctic Sun-Hrdware Repl Parts,PH240151151001,Arctic Sun-Hrdware Repl Parts,403082-00,SPARE P CNTRL PNL ASSEM AS5000,403082-00-SPARE P CNTRL PNL ASSEM AS5000,UCC-403082-00,"$99,015 ",38,Matched by Material ID,pyxis
25604,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2118000,Cancer,PH211800021000,Cytology,PH211800031500,SlidePrep Instr - Plcmt,PH211800041036,SlidePrep Instrument Placement,PH211800051062,SlidePrep Instrument Placement,285046,PrepStain Plus Instrument Placements,285046-PrepStain Plus Instrument Placements,DS-285046, $-   ,38,Matched by Material ID,pyxis
25609,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111006,Informatics,PH211100621000,Informatics,PH211100436600,Epicenter,PH211100441290,Epicenter Hardware,PH211100451521,Epicenter Hardware,EPICENTER-ZHR,EPICENTER,EPICENTER-ZHR-EPICENTER,DS-EPICENTER-ZHR,"$54,309 ",37,Matched by Material ID,pyxis
